scenario,engine,n_reps,mean_diff_c5_minus_c1,boot_lo,boot_hi
F1,rule-grounded,10,0.0000,0.0000,0.0000
F1,llm-grounded,10,0.0000,0.0000,0.0000
F1,llm-freeform,10,0.1000,-0.2000,0.4000
F2,rule-grounded,10,0.0000,0.0000,0.0000
F2,llm-grounded,10,0.6000,0.3000,0.9000
F2,llm-freeform,10,0.0000,0.0000,0.0000
F3,rule-grounded,10,1.0000,1.0000,1.0000
F3,llm-grounded,10,0.0000,0.0000,0.0000
F3,llm-freeform,10,0.0000,0.0000,0.0000
F4,rule-grounded,10,1.0000,1.0000,1.0000
F4,llm-grounded,10,0.9000,0.7000,1.0000
F4,llm-freeform,10,0.6000,0.3000,0.9000
F5,rule-grounded,10,0.0000,0.0000,0.0000
F5,llm-grounded,10,0.0000,0.0000,0.0000
F5,llm-freeform,10,0.0000,0.0000,0.0000
F6,rule-grounded,10,0.9000,0.7000,1.0000
F6,llm-grounded,10,0.9000,0.7000,1.0000
F6,llm-freeform,10,0.6000,0.3000,0.9000
F7,rule-grounded,10,0.9000,0.7000,1.0000
F7,llm-grounded,10,0.0000,0.0000,0.0000
F7,llm-freeform,10,0.0000,0.0000,0.0000
F8,rule-grounded,10,1.0000,1.0000,1.0000
F8,llm-grounded,10,1.0000,1.0000,1.0000
F8,llm-freeform,10,0.6000,0.3000,0.9000
F9,rule-grounded,10,0.0000,0.0000,0.0000
F9,llm-grounded,10,0.0000,0.0000,0.0000
F9,llm-freeform,10,0.0000,0.0000,0.0000
F10,rule-grounded,10,0.0000,0.0000,0.0000
F10,llm-grounded,10,0.0000,0.0000,0.0000
F10,llm-freeform,10,0.0000,0.0000,0.0000
