scenario,engine,n,mean_aligned_top1,boot_lo,boot_hi
F1,rule-grounded,50,1.0000,1.0000,1.0000
F1,llm-grounded,50,1.0000,1.0000,1.0000
F1,llm-freeform,50,0.7000,0.5800,0.8200
F2,rule-grounded,50,0.0000,0.0000,0.0000
F2,llm-grounded,50,0.6200,0.4800,0.7600
F2,llm-freeform,50,0.6800,0.5400,0.8000
F3,rule-grounded,50,0.8000,0.6800,0.9000
F3,llm-grounded,50,0.0000,0.0000,0.0000
F3,llm-freeform,50,0.0000,0.0000,0.0000
F4,rule-grounded,50,0.6000,0.4600,0.7400
F4,llm-grounded,50,0.4200,0.2800,0.5600
F4,llm-freeform,50,0.3000,0.1800,0.4200
F5,rule-grounded,50,0.0000,0.0000,0.0000
F5,llm-grounded,50,0.0000,0.0000,0.0000
F5,llm-freeform,50,0.0000,0.0000,0.0000
F6,rule-grounded,50,0.5400,0.4000,0.6800
F6,llm-grounded,50,0.5200,0.3800,0.6600
F6,llm-freeform,50,0.2800,0.1600,0.4000
F7,rule-grounded,50,0.5400,0.4000,0.6800
F7,llm-grounded,50,0.0000,0.0000,0.0000
F7,llm-freeform,50,0.0000,0.0000,0.0000
F8,rule-grounded,50,0.6000,0.4600,0.7400
F8,llm-grounded,50,0.5800,0.4400,0.7200
F8,llm-freeform,50,0.3800,0.2400,0.5200
F9,rule-grounded,50,0.0000,0.0000,0.0000
F9,llm-grounded,50,0.0000,0.0000,0.0000
F9,llm-freeform,50,0.0000,0.0000,0.0000
F10,rule-grounded,50,0.0000,0.0000,0.0000
F10,llm-grounded,50,0.0000,0.0000,0.0000
F10,llm-freeform,50,0.0000,0.0000,0.0000
