run_id,scenario_id,rep,configuration,engine,engine_mode,model,diag_component,diag_category,gt_component,gt_category,top1_correct,top1_aligned,category_correct,bundle_chars,prompt_tokens,completion_tokens
F1-r1-B0,F1,r1,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres-migrate,application,migration-job,database,0,1,0,18982,5400,55
F1-r2-B0,F1,r2,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres-migrate,application,migration-job,database,0,1,0,23781,6830,48
F1-r3-B0,F1,r3,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,migration-job,database,0,0,0,2871,911,51
F1-r4-B0,F1,r4,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,migration-job,database,0,0,0,2155,757,52
F1-r5-B0,F1,r5,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,migration-job,database,0,0,0,2145,781,52
F1-r6-B0,F1,r6,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,migration-job,database,0,0,0,2155,795,52
F1-r7-B0,F1,r7,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,migration-job,database,0,0,0,2155,782,52
F1-r8-B0,F1,r8,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,migration-job,database,0,0,0,2814,909,53
F1-r9-B0,F1,r9,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,migration-job,database,0,0,0,2799,897,50
F1-r10-B0,F1,r10,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,migration-job,database,0,0,0,2157,772,52
F2-r1-B0,F2,r1,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,app-deployment,configuration,0,0,0,2143,779,52
F2-r2-B0,F2,r2,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,app-deployment,configuration,0,0,0,2812,923,50
F2-r3-B0,F2,r3,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,app-deployment,configuration,0,0,0,2786,894,54
F2-r4-B0,F2,r4,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,app-deployment,configuration,0,0,0,2157,758,52
F2-r5-B0,F2,r5,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,app-deployment,configuration,0,0,0,2155,760,52
F2-r6-B0,F2,r6,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,app-deployment,configuration,0,0,0,2145,782,52
F2-r7-B0,F2,r7,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,app-deployment,configuration,0,0,0,2812,895,54
F2-r8-B0,F2,r8,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,app-deployment,configuration,0,0,0,2814,903,52
F2-r9-B0,F2,r9,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,app-deployment,configuration,0,0,0,2814,899,54
F2-r10-B0,F2,r10,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,app-deployment,configuration,0,0,0,2771,897,53
F3-r1-B0,F3,r1,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,application,app-deployment,infrastructure,0,0,0,3784,1151,55
F3-r2-B0,F3,r2,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,app-deployment,infrastructure,0,0,1,2842,905,53
F3-r3-B0,F3,r3,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,app-deployment,infrastructure,0,0,1,2842,937,52
F3-r4-B0,F3,r4,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,app-deployment,infrastructure,0,0,1,2317,807,52
F3-r5-B0,F3,r5,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,app-deployment,infrastructure,0,0,1,2183,757,56
F3-r6-B0,F3,r6,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,app-deployment,infrastructure,0,0,1,2173,769,51
F3-r7-B0,F3,r7,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,app-deployment,infrastructure,0,0,1,2173,770,54
F3-r8-B0,F3,r8,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,app-deployment,infrastructure,0,0,1,3184,1005,51
F3-r9-B0,F3,r9,B0,B0,B0,gpt-4o-mini-2024-07-18,postgres,infrastructure,app-deployment,infrastructure,0,0,1,2914,921,52
