scenario_id,rep,configuration,engine_mode,diag_component_live,diag_component_v1_port,diag_component_v2_fix,top1_aligned_live,top1_aligned_v1,top1_aligned_v2,gt_component
F1,r1,C1,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r1,C2,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r1,C3,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r1,C4,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r1,C5,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r2,C1,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r2,C2,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r2,C3,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r2,C4,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r2,C5,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r3,C1,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r3,C2,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r3,C3,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r3,C4,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r3,C5,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r4,C1,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r4,C2,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r4,C3,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r4,C4,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r4,C5,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r5,C1,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r5,C2,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r5,C3,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r5,C4,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r5,C5,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r6,C1,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r6,C2,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r6,C3,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r6,C4,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r6,C5,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r7,C1,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r7,C2,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r7,C3,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r7,C4,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r7,C5,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r8,C1,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r8,C2,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r8,C3,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r8,C4,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r8,C5,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r9,C1,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r9,C2,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r9,C3,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r9,C4,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r9,C5,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r10,C1,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r10,C2,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r10,C3,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r10,C4,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F1,r10,C5,rule-grounded,migration-job,migration-job,migration-job,1,1,1,migration-job
F2,r1,C1,rule-grounded,unknown,unknown,unknown,0,0,0,app-deployment
F2,r1,C2,rule-grounded,unknown,unknown,unknown,0,0,0,app-deployment
F2,r1,C3,rule-grounded,unknown,unknown,unknown,0,0,0,app-deployment
F2,r1,C4,rule-grounded,unknown,unknown,unknown,0,0,0,app-deployment
F2,r1,C5,rule-grounded,unknown,unknown,unknown,0,0,0,app-deployment
F2,r2,C1,rule-grounded,unknown,unknown,unknown,0,0,0,app-deployment
F2,r2,C2,rule-grounded,unknown,unknown,unknown,0,0,0,app-deployment
F2,r2,C3,rule-grounded,unknown,unknown,unknown,0,0,0,app-deployment
F2,r2,C4,rule-grounded,unknown,unknown,unknown,0,0,0,app-deployment
F2,r2,C5,rule-grounded,unknown,unknown,unknown,0,0,0,app-deployment
F2,r3,C1,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
