subject,scenario,rep,n_items_total,n_items_on_whitelist,evidence_precision,expected_types
s1-flask-catalog,F1,r1,7,2,0.2857,ChangedFile|JobLog|TestResult
s1-flask-catalog,F1,r10,7,2,0.2857,ChangedFile|JobLog|TestResult
s1-flask-catalog,F1,r2,7,2,0.2857,ChangedFile|JobLog|TestResult
s1-flask-catalog,F1,r3,7,2,0.2857,ChangedFile|JobLog|TestResult
s1-flask-catalog,F1,r4,7,2,0.2857,ChangedFile|JobLog|TestResult
s1-flask-catalog,F1,r5,7,2,0.2857,ChangedFile|JobLog|TestResult
s1-flask-catalog,F1,r6,7,2,0.2857,ChangedFile|JobLog|TestResult
s1-flask-catalog,F1,r7,7,2,0.2857,ChangedFile|JobLog|TestResult
s1-flask-catalog,F1,r8,7,2,0.2857,ChangedFile|JobLog|TestResult
s1-flask-catalog,F1,r9,7,2,0.2857,ChangedFile|JobLog|TestResult
s1-flask-catalog,F10,r1,13,4,0.3077,TestResult
s1-flask-catalog,F10,r10,13,4,0.3077,TestResult
s1-flask-catalog,F10,r2,13,4,0.3077,TestResult
s1-flask-catalog,F10,r3,13,4,0.3077,TestResult
s1-flask-catalog,F10,r4,13,4,0.3077,TestResult
s1-flask-catalog,F10,r5,13,4,0.3077,TestResult
s1-flask-catalog,F10,r6,13,4,0.3077,TestResult
s1-flask-catalog,F10,r7,13,4,0.3077,TestResult
s1-flask-catalog,F10,r8,13,4,0.3077,TestResult
s1-flask-catalog,F10,r9,13,4,0.3077,TestResult
s1-flask-catalog,F2,r1,8,3,0.3750,ChangedFile|KubernetesEvent|PodLog
s1-flask-catalog,F2,r10,9,4,0.4444,ChangedFile|KubernetesEvent|PodLog
s1-flask-catalog,F2,r2,8,3,0.3750,ChangedFile|KubernetesEvent|PodLog
s1-flask-catalog,F2,r3,9,4,0.4444,ChangedFile|KubernetesEvent|PodLog
s1-flask-catalog,F2,r4,9,4,0.4444,ChangedFile|KubernetesEvent|PodLog
s1-flask-catalog,F2,r5,9,4,0.4444,ChangedFile|KubernetesEvent|PodLog
s1-flask-catalog,F2,r6,9,4,0.4444,ChangedFile|KubernetesEvent|PodLog
s1-flask-catalog,F2,r7,9,4,0.4444,ChangedFile|KubernetesEvent|PodLog
s1-flask-catalog,F2,r8,9,4,0.4444,ChangedFile|KubernetesEvent|PodLog
s1-flask-catalog,F2,r9,9,4,0.4444,ChangedFile|KubernetesEvent|PodLog
s1-flask-catalog,F3,r1,8,4,0.5000,ChangedFile|KubernetesEvent
s1-flask-catalog,F3,r10,8,4,0.5000,ChangedFile|KubernetesEvent
s1-flask-catalog,F3,r2,8,4,0.5000,ChangedFile|KubernetesEvent
s1-flask-catalog,F3,r3,8,4,0.5000,ChangedFile|KubernetesEvent
s1-flask-catalog,F3,r4,8,4,0.5000,ChangedFile|KubernetesEvent
s1-flask-catalog,F3,r5,8,4,0.5000,ChangedFile|KubernetesEvent
s1-flask-catalog,F3,r6,8,4,0.5000,ChangedFile|KubernetesEvent
s1-flask-catalog,F3,r7,8,4,0.5000,ChangedFile|KubernetesEvent
s1-flask-catalog,F3,r8,8,4,0.5000,ChangedFile|KubernetesEvent
s1-flask-catalog,F3,r9,8,4,0.5000,ChangedFile|KubernetesEvent
s1-flask-catalog,F4,r1,13,5,0.3846,ChangedFile|TestResult
s1-flask-catalog,F4,r10,13,5,0.3846,ChangedFile|TestResult
s1-flask-catalog,F4,r2,13,5,0.3846,ChangedFile|TestResult
s1-flask-catalog,F4,r3,13,5,0.3846,ChangedFile|TestResult
s1-flask-catalog,F4,r4,13,5,0.3846,ChangedFile|TestResult
s1-flask-catalog,F4,r5,13,5,0.3846,ChangedFile|TestResult
s1-flask-catalog,F4,r6,13,5,0.3846,ChangedFile|TestResult
