term,estimate,std_err,p_value
Intercept,0.05265,nan,nan
C(configuration)[T.C2],0.03000,0.01814,0.098204
C(configuration)[T.C3],0.09500,0.01814,0.000000
C(configuration)[T.C4],0.16000,0.01814,0.000000
C(configuration)[T.C5],0.13750,0.01814,0.000000
C(llm)[T.B],-0.03750,0.01814,0.038731
C(configuration)[T.C2]:C(llm)[T.B],-0.01250,0.02566,0.626114
C(configuration)[T.C3]:C(llm)[T.B],-0.05750,0.02566,0.025017
C(configuration)[T.C4]:C(llm)[T.B],-0.05750,0.02566,0.025017
C(configuration)[T.C5]:C(llm)[T.B],-0.03500,0.02566,0.172513
