scenario,llm,configuration,n,both_correct,grounded_only,freeform_only,both_wrong,mcnemar_stat,p_value,skipped
F1,A,C1,10,0,0,0,10,0.000,1.000000,
F1,A,C2,10,0,0,0,10,0.000,1.000000,
F1,A,C3,10,0,0,0,10,0.000,1.000000,
F1,A,C4,10,0,0,0,10,0.000,1.000000,
F1,A,C5,10,0,0,0,10,0.000,1.000000,
F1,B,C1,10,0,0,0,10,0.000,1.000000,
F1,B,C2,10,0,0,0,10,0.000,1.000000,
F1,B,C3,10,0,0,0,10,0.000,1.000000,
F1,B,C4,10,0,0,0,10,0.000,1.000000,
F1,B,C5,10,0,0,0,10,0.000,1.000000,
F10,A,C1,10,0,0,0,10,0.000,1.000000,
F10,A,C2,10,0,0,0,10,0.000,1.000000,
F10,A,C3,10,0,0,0,10,0.000,1.000000,
F10,A,C4,10,0,1,0,9,0.000,1.000000,
F10,A,C5,10,0,4,0,6,0.000,0.125000,
F10,B,C1,10,0,0,0,10,0.000,1.000000,
F10,B,C2,10,0,0,0,10,0.000,1.000000,
F10,B,C3,10,0,0,0,10,0.000,1.000000,
F10,B,C4,10,0,0,0,10,0.000,1.000000,
F10,B,C5,10,0,0,0,10,0.000,1.000000,
F2,A,C1,10,0,0,0,10,0.000,1.000000,
F2,A,C2,10,0,0,0,10,0.000,1.000000,
F2,A,C3,10,10,0,0,0,0.000,1.000000,
F2,A,C4,10,10,0,0,0,0.000,1.000000,
F2,A,C5,10,10,0,0,0,0.000,1.000000,
F2,B,C1,10,0,0,0,10,0.000,1.000000,
F2,B,C2,10,0,0,0,10,0.000,1.000000,
F2,B,C3,10,10,0,0,0,0.000,1.000000,
F2,B,C4,10,6,0,4,0,0.000,0.125000,
F2,B,C5,10,8,0,2,0,0.000,0.500000,
F3,A,C1,10,0,0,0,10,0.000,1.000000,
F3,A,C2,10,0,0,0,10,0.000,1.000000,
F3,A,C3,10,0,0,0,10,0.000,1.000000,
F3,A,C4,10,0,0,0,10,0.000,1.000000,
F3,A,C5,10,0,0,0,10,0.000,1.000000,
F3,B,C1,10,0,0,0,10,0.000,1.000000,
F3,B,C2,10,0,0,0,10,0.000,1.000000,
F3,B,C3,10,0,0,0,10,0.000,1.000000,
F3,B,C4,10,0,0,0,10,0.000,1.000000,
F3,B,C5,10,0,0,0,10,0.000,1.000000,
F4,A,C1,10,0,0,0,10,0.000,1.000000,
F4,A,C2,10,0,0,0,10,0.000,1.000000,
F4,A,C3,10,0,0,0,10,0.000,1.000000,
F4,A,C4,10,0,0,0,10,0.000,1.000000,
F4,A,C5,10,0,0,0,10,0.000,1.000000,
F4,B,C1,10,0,0,0,10,0.000,1.000000,
F4,B,C2,10,0,0,0,10,0.000,1.000000,
F4,B,C3,10,0,0,0,10,0.000,1.000000,
F4,B,C4,10,0,0,0,10,0.000,1.000000,
F4,B,C5,10,0,0,0,10,0.000,1.000000,
F5,A,C1,10,0,0,0,10,0.000,1.000000,
F5,A,C2,10,0,0,0,10,0.000,1.000000,
F5,A,C3,10,10,0,0,0,0.000,1.000000,
F5,A,C4,10,10,0,0,0,0.000,1.000000,
F5,A,C5,10,10,0,0,0,0.000,1.000000,
F5,B,C1,10,0,0,0,10,0.000,1.000000,
F5,B,C2,10,0,0,0,10,0.000,1.000000,
F5,B,C3,10,0,0,0,10,0.000,1.000000,
F5,B,C4,10,0,4,0,6,0.000,0.125000,
F5,B,C5,10,0,9,0,1,0.000,0.003906,
F6,A,C1,10,2,0,1,7,0.000,1.000000,
F6,A,C2,10,0,0,0,10,0.000,1.000000,
F6,A,C3,10,0,0,0,10,0.000,1.000000,
F6,A,C4,10,0,0,0,10,0.000,1.000000,
F6,A,C5,10,0,0,0,10,0.000,1.000000,
F6,B,C1,10,0,0,0,10,0.000,1.000000,
F6,B,C2,10,0,0,0,10,0.000,1.000000,
F6,B,C3,10,0,0,0,10,0.000,1.000000,
F6,B,C4,10,0,0,0,10,0.000,1.000000,
F6,B,C5,10,0,0,0,10,0.000,1.000000,
F7,A,C1,10,1,1,1,7,1.000,1.000000,
F7,A,C2,10,10,0,0,0,0.000,1.000000,
F7,A,C3,10,10,0,0,0,0.000,1.000000,
F7,A,C4,10,10,0,0,0,0.000,1.000000,
F7,A,C5,10,10,0,0,0,0.000,1.000000,
F7,B,C1,10,0,0,0,10,0.000,1.000000,
F7,B,C2,10,4,1,1,4,1.000,1.000000,
F7,B,C3,10,3,0,1,6,0.000,1.000000,
F7,B,C4,10,6,1,2,1,1.000,1.000000,
F7,B,C5,10,8,1,0,1,0.000,1.000000,
F8,A,C1,10,0,0,0,10,0.000,1.000000,
F8,A,C2,10,0,0,0,10,0.000,1.000000,
F8,A,C3,10,0,0,0,10,0.000,1.000000,
F8,A,C4,10,0,0,0,10,0.000,1.000000,
F8,A,C5,10,0,0,0,10,0.000,1.000000,
F8,B,C1,10,0,0,0,10,0.000,1.000000,
F8,B,C2,10,0,0,0,10,0.000,1.000000,
F8,B,C3,10,0,0,0,10,0.000,1.000000,
F8,B,C4,10,0,0,0,10,0.000,1.000000,
F8,B,C5,10,0,0,0,10,0.000,1.000000,
F9,A,C1,10,0,0,0,10,0.000,1.000000,
F9,A,C2,10,0,0,0,10,0.000,1.000000,
F9,A,C3,10,0,0,0,10,0.000,1.000000,
F9,A,C4,10,0,0,0,10,0.000,1.000000,
F9,A,C5,10,0,0,0,10,0.000,1.000000,
F9,B,C1,10,0,0,0,10,0.000,1.000000,
F9,B,C2,10,0,0,0,10,0.000,1.000000,
F9,B,C3,10,0,0,0,10,0.000,1.000000,
F9,B,C4,10,0,0,0,10,0.000,1.000000,
F9,B,C5,10,0,0,0,10,0.000,1.000000,
