rung,engine,k,n,aligned_top1,ci_lo,ci_hi
L1 (logs only),llm-freeform,14,100,0.14,0.08526343659939133,0.22137188210963837
L1 (logs only),llm-grounded,14,100,0.14,0.08526343659939133,0.22137188210963837
L1 (logs only),rule-grounded,10,100,0.1,0.05522913706067508,0.17436566150491345
"L3 (FR, no prov.)",llm-freeform,36,100,0.36,0.2727122040140433,0.4576459754839127
"L3 (FR, no prov.)",llm-grounded,44,100,0.44,0.346720266301608,0.5377189534832303
"L3 (FR, no prov.)",rule-grounded,58,100,0.58,0.4820648670304296,0.6720161732564526
L4 (FR + prov.),llm-freeform,33,100,0.33,0.2456312273412804,0.42694656204909476
L4 (FR + prov.),llm-grounded,48,100,0.48,0.384645517580519,0.5768342223477604
L4 (FR + prov.),rule-grounded,58,100,0.58,0.4820648670304296,0.6720161732564526
L2 (raw kubectl),B0 (vanilla LLM),4,99,0.04040404040404041,0.01582263899414755,0.09932021250254228
