subject,rung,engine,k,n,aligned_top1,ci_lo,ci_hi
s1-flask-catalog,L1 (logs only),llm-freeform,17,200,0.085,0.053745750177475606,0.13189587071565567
s1-flask-catalog,L1 (logs only),llm-grounded,19,200,0.095,0.06166310271738653,0.1436016116481994
s1-flask-catalog,L1 (logs only),rule-grounded,10,100,0.1,0.05522913706067508,0.17436566150491345
s1-flask-catalog,"L3 (FR, no prov.)",llm-freeform,36,200,0.18,0.13294625859420173,0.23911475028724888
s1-flask-catalog,"L3 (FR, no prov.)",llm-grounded,44,200,0.22,0.16816538358833258,0.2823879991829367
s1-flask-catalog,"L3 (FR, no prov.)",rule-grounded,58,100,0.58,0.4820648670304296,0.6720161732564526
s1-flask-catalog,L4 (FR + prov.),llm-freeform,33,200,0.165,0.1199685532821731,0.22265781539059554
s1-flask-catalog,L4 (FR + prov.),llm-grounded,48,200,0.24,0.18606615992413691,0.3037334097920417
s1-flask-catalog,L4 (FR + prov.),rule-grounded,58,100,0.58,0.4820648670304296,0.6720161732564526
s2-listmonk,L1 (logs only),llm-freeform,0,170,0.0,0.0,0.022097483803655456
s2-listmonk,L1 (logs only),llm-grounded,4,200,0.02,0.007804426416349465,0.05028708690582644
s2-listmonk,L1 (logs only),rule-grounded,0,85,0.0,0.0,0.04323948381405149
s2-listmonk,"L3 (FR, no prov.)",llm-freeform,23,170,0.13529411764705881,0.09187383491178217,0.19483256503911947
s2-listmonk,"L3 (FR, no prov.)",llm-grounded,36,200,0.18,0.13294625859420173,0.23911475028724888
s2-listmonk,"L3 (FR, no prov.)",rule-grounded,7,85,0.08235294117647059,0.040463723499160636,0.16035984533375294
s2-listmonk,L4 (FR + prov.),llm-freeform,24,170,0.1411764705882353,0.09674055157980212,0.20147058385576244
s2-listmonk,L4 (FR + prov.),llm-grounded,24,200,0.12,0.08197992706375513,0.17234252098296748
s2-listmonk,L4 (FR + prov.),rule-grounded,7,85,0.08235294117647059,0.040463723499160636,0.16035984533375294
s3-healthchecks,L1 (logs only),llm-freeform,6,170,0.03529411764705882,0.01627414845222118,0.07485174825941154
s3-healthchecks,L1 (logs only),llm-grounded,7,200,0.035,0.0170555420085672,0.07047061152229074
s3-healthchecks,L1 (logs only),rule-grounded,0,85,0.0,0.0,0.04323948381405149
s3-healthchecks,"L3 (FR, no prov.)",llm-freeform,36,170,0.21176470588235294,0.15706771471168085,0.2792002465398382
s3-healthchecks,"L3 (FR, no prov.)",llm-grounded,41,200,0.205,0.1548617620383621,0.2662569805242252
s3-healthchecks,"L3 (FR, no prov.)",rule-grounded,14,85,0.16470588235294117,0.10072462065396519,0.2576830331978105
s3-healthchecks,L4 (FR + prov.),llm-freeform,37,170,0.21764705882352942,0.16222908658023513,0.28554361015594676
s3-healthchecks,L4 (FR + prov.),llm-grounded,53,200,0.265,0.20868154147109108,0.3301757619262242
s3-healthchecks,L4 (FR + prov.),rule-grounded,14,85,0.16470588235294117,0.10072462065396519,0.2576830331978105
s4-umami,L1 (logs only),llm-freeform,0,170,0.0,0.0,0.022097483803655456
s4-umami,L1 (logs only),llm-grounded,1,200,0.005,0.0008831687156009762,0.02777370439789293
s4-umami,L1 (logs only),rule-grounded,0,85,0.0,0.0,0.04323948381405149
s4-umami,"L3 (FR, no prov.)",llm-freeform,23,170,0.13529411764705881,0.09187383491178217,0.19483256503911947
s4-umami,"L3 (FR, no prov.)",llm-grounded,30,200,0.15,0.10713593562241996,0.20605579284166664
s4-umami,"L3 (FR, no prov.)",rule-grounded,7,85,0.08235294117647059,0.040463723499160636,0.16035984533375294
s4-umami,L4 (FR + prov.),llm-freeform,21,170,0.12352941176470589,0.08223295365168985,0.181463975329886
s4-umami,L4 (FR + prov.),llm-grounded,25,200,0.125,0.08611974475712647,0.1780142500258235
s4-umami,L4 (FR + prov.),rule-grounded,7,85,0.08235294117647059,0.040463723499160636,0.16035984533375294
s5-petclinic,L1 (logs only),llm-freeform,1,170,0.0058823529411764705,0.0010391355302600373,0.03256308375805829
s5-petclinic,L1 (logs only),llm-grounded,3,200,0.015,0.00511423779325831,0.04316572879269026
s5-petclinic,L1 (logs only),rule-grounded,0,85,0.0,0.0,0.04323948381405149
s5-petclinic,"L3 (FR, no prov.)",llm-freeform,25,170,0.14705882352941177,0.10163604750436994,0.20807982341585746
s5-petclinic,"L3 (FR, no prov.)",llm-grounded,35,200,0.175,0.12860515066273331,0.23364431148248999
s5-petclinic,"L3 (FR, no prov.)",rule-grounded,7,85,0.08235294117647059,0.040463723499160636,0.16035984533375294
s5-petclinic,L4 (FR + prov.),llm-freeform,23,170,0.13529411764705881,0.09187383491178217,0.19483256503911947
s5-petclinic,L4 (FR + prov.),llm-grounded,37,200,0.185,0.13730192800616045,0.24457062761151752
s5-petclinic,L4 (FR + prov.),rule-grounded,7,85,0.08235294117647059,0.040463723499160636,0.16035984533375294
s1-flask-catalog,L2 (raw kubectl),B0 (vanilla LLM),4,99,0.04040404040404041,0.01582263899414755,0.09932021250254228
s2-listmonk,L2 (raw kubectl),B0 (vanilla LLM),1,10,0.1,0.017876213095072896,0.4041500267952385
s3-healthchecks,L2 (raw kubectl),B0 (vanilla LLM),0,10,0.0,0.0,0.27753279986288926
s4-umami,L2 (raw kubectl),B0 (vanilla LLM),1,10,0.1,0.017876213095072896,0.4041500267952385
s5-petclinic,L2 (raw kubectl),B0 (vanilla LLM),1,10,0.1,0.017876213095072896,0.4041500267952385
