subject_id,scenario_id,rep,configuration,engine_mode,diag_component,diag_category,gt_role,gt_category,top1_aligned
s1-flask-catalog,F1,r1,C1,llm-b-freeform,SQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r1,C1,llm-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r1,C1,llm-b-grounded,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r1,C1,llm-grounded,database,database,migration-job,database,1
s1-flask-catalog,F1,r1,C1,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r1,C2,llm-b-freeform,SQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r1,C2,llm-freeform,database,database,migration-job,database,1
s1-flask-catalog,F1,r1,C2,llm-b-grounded,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r1,C2,llm-grounded,database,application,migration-job,database,1
s1-flask-catalog,F1,r1,C2,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r1,C3,llm-b-freeform,SQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r1,C3,llm-freeform,database,database,migration-job,database,1
s1-flask-catalog,F1,r1,C3,llm-b-grounded,Database migration script,application,migration-job,database,0
s1-flask-catalog,F1,r1,C3,llm-grounded,database,application,migration-job,database,1
s1-flask-catalog,F1,r1,C3,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r1,C4,llm-b-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r1,C4,llm-freeform,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r1,C4,llm-b-grounded,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r1,C4,llm-grounded,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r1,C4,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r1,C5,llm-b-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r1,C5,llm-freeform,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r1,C5,llm-b-grounded,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r1,C5,llm-grounded,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r1,C5,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r10,C1,llm-b-freeform,Database migration script,application,migration-job,database,0
s1-flask-catalog,F1,r10,C1,llm-freeform,database,database,migration-job,database,1
s1-flask-catalog,F1,r10,C1,llm-b-grounded,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r10,C1,llm-grounded,database,database,migration-job,database,1
s1-flask-catalog,F1,r10,C1,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r10,C2,llm-b-freeform,SQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r10,C2,llm-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r10,C2,llm-b-grounded,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r10,C2,llm-grounded,database,application,migration-job,database,1
s1-flask-catalog,F1,r10,C2,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r10,C3,llm-b-freeform,SQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r10,C3,llm-freeform,database,database,migration-job,database,1
s1-flask-catalog,F1,r10,C3,llm-b-grounded,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r10,C3,llm-grounded,database,application,migration-job,database,1
s1-flask-catalog,F1,r10,C3,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r10,C4,llm-b-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r10,C4,llm-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r10,C4,llm-b-grounded,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r10,C4,llm-grounded,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r10,C4,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r10,C5,llm-b-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r10,C5,llm-freeform,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r10,C5,llm-b-grounded,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r10,C5,llm-grounded,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r10,C5,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r2,C1,llm-b-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r2,C1,llm-freeform,database,database,migration-job,database,1
s1-flask-catalog,F1,r2,C1,llm-b-grounded,database migration script,application,migration-job,database,0
s1-flask-catalog,F1,r2,C1,llm-grounded,database,database,migration-job,database,1
s1-flask-catalog,F1,r2,C1,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r2,C2,llm-b-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r2,C2,llm-freeform,database migration scripts,database,migration-job,database,0
s1-flask-catalog,F1,r2,C2,llm-b-grounded,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r2,C2,llm-grounded,database,database,migration-job,database,1
s1-flask-catalog,F1,r2,C2,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r2,C3,llm-b-freeform,migration script,application,migration-job,database,0
s1-flask-catalog,F1,r2,C3,llm-freeform,database,database,migration-job,database,1
s1-flask-catalog,F1,r2,C3,llm-b-grounded,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r2,C3,llm-grounded,database,database,migration-job,database,1
s1-flask-catalog,F1,r2,C3,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r2,C4,llm-b-freeform,database migration script (migrations/versions/002_fault.py),database,migration-job,database,0
s1-flask-catalog,F1,r2,C4,llm-freeform,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r2,C4,llm-b-grounded,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r2,C4,llm-grounded,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r2,C4,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r2,C5,llm-b-freeform,database migration script (002_fault.py),database,migration-job,database,0
s1-flask-catalog,F1,r2,C5,llm-freeform,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r2,C5,llm-b-grounded,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r2,C5,llm-grounded,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r2,C5,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r3,C1,llm-b-freeform,Database migration script,application,migration-job,database,0
s1-flask-catalog,F1,r3,C1,llm-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r3,C1,llm-b-grounded,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r3,C1,llm-grounded,database,database,migration-job,database,1
s1-flask-catalog,F1,r3,C1,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r3,C2,llm-b-freeform,SQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r3,C2,llm-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r3,C2,llm-b-grounded,SQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r3,C2,llm-grounded,database,database,migration-job,database,1
s1-flask-catalog,F1,r3,C2,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r3,C3,llm-b-freeform,SQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r3,C3,llm-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r3,C3,llm-b-grounded,PostgreSQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r3,C3,llm-grounded,database,application,migration-job,database,1
s1-flask-catalog,F1,r3,C3,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r3,C4,llm-b-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r3,C4,llm-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r3,C4,llm-b-grounded,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r3,C4,llm-grounded,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r3,C4,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r3,C5,llm-b-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r3,C5,llm-freeform,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r3,C5,llm-b-grounded,database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r3,C5,llm-grounded,database migration,database,migration-job,database,1
s1-flask-catalog,F1,r3,C5,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r4,C1,llm-b-freeform,SQL migration script,application,migration-job,database,0
s1-flask-catalog,F1,r4,C1,llm-freeform,database,database,migration-job,database,1
s1-flask-catalog,F1,r4,C1,llm-b-grounded,Database migration script,database,migration-job,database,0
s1-flask-catalog,F1,r4,C1,llm-grounded,database,database,migration-job,database,1
s1-flask-catalog,F1,r4,C1,rule-grounded,migration-job,database,migration-job,database,1
s1-flask-catalog,F1,r4,C2,llm-b-freeform,Database migration script,database,migration-job,database,0
